c,f
261199,1.0052356
261200,0.99156773
261201,0.9980577
261202,0.97148967
261203,0.9888327
261204,0.9932415
261205,0.98829085
261206,0.9838735
261207,0.9793497
261208,1.0314107
261209,1.185705
261210,1.0809884
261211,1.0731785
261212,1.079309
261213,2.8431323
261214,15.332856
261215,9.797816
261216,7.2562003
261217,5.859017
261218,4.7456493
261219,4.091899
261220,3.9580262
261221,3.2338982
261222,2.9486907
261223,2.6001678
261224,2.4050925
261225,2.2613566
261226,2.0442586
261227,1.9307926
261228,1.8232554
261229,1.8264916
261230,1.7098407
261231,1.5999502
261232,1.57449
261233,1.5389729
261234,1.4608221
261235,1.4304672
261236,1.3932766
261237,1.3705156
261238,1.3244656
261239,1.303211
261240,1.2729602
261241,1.2813921
261242,1.3270208
261243,1.2894148
261244,1.2269669
261245,1.202007
261246,1.2053306
261247,1.193678
261248,1.1963569
261249,1.15448
261250,1.1495136
261251,1.1291928
261252,1.146811
261253,1.1328804
261254,1.1587903
261255,1.1368858
261256,1.1187606
261257,1.1170682
261258,1.1198041
261259,1.1110067
261260,1.0963949
261261,1.100581
261262,1.1159679
261263,1.0784353
261264,1.1061084
261265,1.1096781
261266,1.0856794
261267,1.0805715
261268,1.1021185
261269,1.0747262
261270,1.0589887
261271,1.0682735
261272,1.0712326
261273,1.0654235
261274,1.0844375
261275,1.0717611
261276,1.0631881
261277,1.0518017
261278,1.0591042
261279,1.0495906
261280,1.0661466
261281,1.046392
261282,1.0490729
261283,1.0291355
261284,1.0323737
261285,1.0571628
261286,1.0321496
261287,1.0375097
261288,1.0411769
261289,1.0357724
261290,1.0239174
261291,1.0390087
261292,1.0306389
261293,1.0450906
261294,1.0419304
261295,1.0330346
261296,1.0287702
261297,1.048806
261298,1.0525211
261299,1.0161698
261300,1.0206194
